Thu Mar 07 21:51:47 +0000 2019,b'Yikes!'
Thu Mar 07 21:51:47 +0000 2019,b'@malteseTTT @GOPLeader @SpeakerPelosi #RemoveOmar from congress now!\n@IlhanMN  admits she will not assimilate and will not respect American culture.\nhttps://t.co/89lk0RheHj'
Thu Mar 07 21:51:47 +0000 2019,"b'John Kelly, Out of White House, Breaks With Trump Policies - The New York Times\n\nThe former White House chief of staff, John F. Kelly, on Wednesday declined to... https://t.co/5Cu4RqqVXA'"
Thu Mar 07 21:51:48 +0000 2019,"b""I am pleased to report that Punchy wouldn't attend covfefe and totally destroyed the alt-right. #trump"""
Thu Mar 07 21:51:47 +0000 2019,b'@thro_e So PROUD &amp; THANKFUL for       \n           Our President \n           #AmericaFirst\n\n     #Trump2020   #KAG\n\n \xe2\x9d\xa4\xe2\x99\xa1\xf0\x9f\x92\x99      \xf0\x9f\x87\xba\xf0\x9f\x87\xb8      \xe2\x9d\xa4\xe2\x99\xa1\xf0\x9f\x92\x99\n\n                    We \n #LoveOurPresidentTrump https://t.co/PGYgoYazEn'
Thu Mar 07 21:51:48 +0000 2019,b'Get on the Trump Train &amp; Follow:\n@WeSupport45 \n@AOCSpeaker \n@BorderWallUSA \n@ImpeachMaxine \n@ImpeachNancy \n@ImpeachTheDNC \n@NeverBeto \n@NeverPocahontas \n@NeverSpartacus \n@NoCrazyBernie \n@TrumpWave2020 \n#RETWEET \nJoin @RealTrumpTown @ https://t.co/rw0hegxt5N \n#ThursdayThoughts'
Thu Mar 07 21:51:48 +0000 2019,b'Another indication that at least some House Republicans see this as an opportunity to kick a Democrat and not seriously engage with the issue.\n\nBasically everyone involved with this should be ashamed and should apologize to their Jewish colleagues for dragging them through this.'
Thu Mar 07 21:51:48 +0000 2019,"b'@nytimes Wow @SpeakerPelosi, Stumbling to collectively say that #bigotry is bad?  Your #Democrat Party no longer exists.'"
Thu Mar 07 21:51:48 +0000 2019,b'@POTUS   \nMaybe you should add gis attorneys  to your team!!!  Since  some of the lame ass republucans just  sit back doing nothing to help !!!!\nhttps://t.co/qUDpk4lf6I'
Thu Mar 07 21:51:48 +0000 2019,"b'@SilverbearHeart @loves_nra @MJoemal19 @realDonaldTrump We the People put Trump in office, nimwit.'"
Thu Mar 07 21:51:48 +0000 2019,"b""@maggieNYT With evidence of Rupert Murdoch's work on behalf of Trump and the republican party why give one of the debates to a broadcast network with clear prejudice working on behalf of the person sitting in the WH?  It's not fear, it's pragmatism."""
Thu Mar 07 21:51:48 +0000 2019,"b'@realAliTweets There is no upside for any candidate to appear on Fox.  They are not a reputable news organization. They traffic in lies, distortions and propaganda.'"
Thu Mar 07 21:51:48 +0000 2019,"b""Remember when Democrats we're supposed to have 100 candidates for President?  They will have less than Republicans did in 2016 by far."""
Thu Mar 07 21:51:48 +0000 2019,b'Thoughts and prayers?'
Thu Mar 07 21:51:48 +0000 2019,b'@danielrupp12 @KamalaHarris \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbc\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbc\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbc Please FOLLOW and RT. How many KICKBACKS from that wall would somehow funnel back to the TRUMP family???'
Thu Mar 07 21:51:49 +0000 2019,"b'Actually, the US can\xe2\x80\x99t sell that many more goods to China no matter what Trump\xc2\xa0says https://t.co/JjAq7xaWrp'"
Thu Mar 07 21:51:49 +0000 2019,b'@RealSaavedra I have a better chance of winning the lottery then Booker being President.\nAnd I don\xe2\x80\x99t even play the lottery.'
Thu Mar 07 21:51:49 +0000 2019,b'Dear \n@GOP\n@HouseGOP\n @SenateGOP\n IF YOU\xe2\x80\x99RE NOT SPEAKING OUT LOUD &amp;PROUD ON BEHALF OF WE THE PEOPLE AND IN SUPPORT OF \n@POTUS\n@realDonaldTrump\n KNOW THIS YOUR SEAT IS IN JEOPARDY !\nAMERICANS ARE UNITED IN SAVING OUR NATION FROM THE RADICAL DEMOCRATS.PICK A LANE\xe2\x80\xbc\xef\xb8\x8f\n\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8'
Thu Mar 07 21:51:49 +0000 2019,"b'IBM CEO, business group call on Congress to pass LGBT rights bill https://t.co/IGWt7QHzwi'"
Thu Mar 07 21:51:49 +0000 2019,"b'Although HR1 contains measures that will expand voter excess for disabled Americans and reduce lobbyists role in politics, it fails to reform our overall campaign finance system and election process. We need reasonable and common sense reform to... https://t.co/pT6f5XycBE'"
Thu Mar 07 21:51:49 +0000 2019,"b""@AlbertanDave @kylegriffin1 FACTs\nHow Trump is rolling back\xc2\xa0Obama\xe2\x80\x99s legacy\n\nDuring President Trump\xe2\x80\x99s first year in office, Congress and his administration plan to review, revoke and overwrite key parts of his predecessor\xe2\x80\x99s domestic legacy.\xc2\xa0\nRip up all Obama's Failed Policies!"""
Thu Mar 07 21:51:49 +0000 2019,"b'Actually, the US can\xe2\x80\x99t sell that many more goods to China no matter what Trump\xc2\xa0says https://t.co/Z0E0GmWzTJ'"
Thu Mar 07 21:51:49 +0000 2019,b'So true. And I keep asking \xe2\x80\x98why?\xe2\x80\x99'
Thu Mar 07 21:51:50 +0000 2019,b'@Potus16Abe @SenateGOP @SenMarkey @SenateDems @POTUS I\xe2\x80\x99m siting here arguing with a bot.  You\xe2\x80\x99re reported.'
Thu Mar 07 21:51:50 +0000 2019,"b""Trump official grilled over 'kids in cages'\n\nhttps://t.co/QyINdTZtH9"""
Thu Mar 07 21:51:50 +0000 2019,b'@realDonaldTrump We are on track to APPREHEND those who\xe2\x80\x99ve committed treason &amp; obstruction. More than a million people are coming to that conclusion. Great job by Mueller(and Dems)who are working in a Broken System. Can be fixed by Congress so easily &amp; quickly if only the GOP would get on board.'
Thu Mar 07 21:51:50 +0000 2019,b'@ewarren @GM Trump tariffs fucks Ohio auto workers.'
Thu Mar 07 21:51:50 +0000 2019,"b'@MirrorTech The future looking worse and worse each day... Bexit, Tories, Trump, global warming and now this \xf0\x9f\x98\xaa https://t.co/PQ20lXWGAw'"
Thu Mar 07 21:51:50 +0000 2019,b'@SpeakerPelosi just to give you some perspective as you deal with this thorny situation'
Thu Mar 07 21:51:50 +0000 2019,b'\xe2\x80\x98Sh*tstorm\xe2\x80\x99 erupted after State Dept learned it was about to give an award to a journalist who had criticized Trump https://t.co/23GNO4xLRv'
Thu Mar 07 21:51:50 +0000 2019,b'Another thoughtful and relevant piece from @bellwethered'
Thu Mar 07 21:51:50 +0000 2019,"b""@charliekirk11 Okay\nDavid Duke:\nWhite Supremacist \nOne of those very fine people on both sides that Trump liked that dressed like Trump with their ickle angry Torches and Hijacked Hindi symbol tattoos.\n\nYeah shall we talk about #MAGAbomber and why he was called thus??\n\nYou're 1 hot air balloon! https://t.co/vPUmPnFThM"""
Thu Mar 07 21:51:50 +0000 2019,b'Bernie Sanders for President'
Thu Mar 07 21:51:50 +0000 2019,"b""White House warns Republicans that those voting against Trump's 'emergency' will face retribution https://t.co/IaykqCCNK8"""
Thu Mar 07 21:51:50 +0000 2019,b'But you let them all go free.'
Thu Mar 07 21:51:50 +0000 2019,"b'@MarkDice @DiamondandSilk They regurgitate their own prejudices...\nThey are black women, working together toward a common goal...\nAND are pro-Trump \nHEAD BONK!\nOf course they are grifters...\nBut what are YOU???'"
Thu Mar 07 21:51:50 +0000 2019,b'@ChuckCallesto She is the highest ranking democrat . That says a lot  about them.'
Thu Mar 07 21:51:51 +0000 2019,"b""@RVAwonk Now, the 2 most central figures in #Trump's investigative woes: #MichaelCohen &amp; #PaulManafort. In overlooked ways, #Manafort's &amp; #Cohen's #Ukraine work overlaps &amp; illuminates the whole Trump- #Russia saga. See my deep-dive look into that here &amp; PLZ SHR! https://t.co/9gGjJOH9wg"""
Thu Mar 07 21:51:51 +0000 2019,b'The biggest political scandal in American history https://t.co/is6zN1tiOH'
Thu Mar 07 21:51:51 +0000 2019,b'Tim Cook is now Tim Apple on Twitter after Donald Trump name flub https://t.co/pxM36stVAL'
Thu Mar 07 21:51:50 +0000 2019,"b'@MrIcallball @Vickie627 @misscalliecat @otreborrm @NancyParks8 @JDW714 @Kevin84500028 @ANTIQUE4UNIQUE @WestvilleGirl82 @55cruiser @Lauremari2 @madnessIImethod @jdd2169 @shereedre10 @AmericaGirI @John_Qanon @RoseWoo15096108 @BuddhaKatze @IDream_inColor9 @ZacRe1 @BoonzFan47 @ze_06_18 @Ana_Ssassin47 @JeffHarperArt @Thumper5465 @z_e_06_18 @LarryHumphries1 @NeoDJT @1967pontiactig1 @richard33609283 @USANana1 @DeploraBot108 @weaponized_mind @GopWhite @kevinmlewis1985 @BKennedy1979 @UncleJoe5465 @HackDz_Revenge @KarenO665 @motoguzzi2002 @americaromania @NowellKern @Op_cause @SicovDems @DeepPopQ @WalkedAwa @fasteddyTO @kellyannegoebb @jmc663 @Li4E2B01QH0TBnx The whataboutisms address the hypocriticism. OK, the choices were Trump or Hillary. Hillary recommended Trump. \xf0\x9f\x98\x89 https://t.co/akoJATtYB8'"
